Episode  2620 | Won: False | Reward: -506.0 | Epsilon: 0.6507
Episode  2630 | Won: False | Reward: -521.0 | Epsilon: 0.6493
Episode  2640 | Won: False | Reward: -516.0 | Epsilon: 0.6480
Episode  2650 | Won: False | Reward: -523.0 | Epsilon: 0.6467
Episode  2660 | Won: False | Reward: -507.0 | Epsilon: 0.6453
Episode  2670 | Won: False | Reward: -510.0 | Epsilon: 0.6440
Episode  2680 | Won: False | Reward: -509.0 | Epsilon: 0.6427
Episode  2690 | Won: False | Reward: -514.0 | Epsilon: 0.6413
Episode  2700 | Won: False | Reward: -510.0 | Epsilon: 0.6400
Episode  2710 | Won: False | Reward: -520.0 | Epsilon: 0.6387
Episode  2720 | Won: False | Reward: -508.0 | Epsilon: 0.6373
Episode  2730 | Won: False | Reward: -516.0 | Epsilon: 0.6360
Episode  2740 | Won: False | Reward: -518.0 | Epsilon: 0.6347
Episode  2750 | Won: False | Reward: -506.0 | Epsilon: 0.6333
Episode  2760 | Won: False | Reward: -519.0 | Epsilon: 0.6320
Episode  2770 | Won: False | Reward: -535.0 | Epsilon: 0.6307
Episode  2780 | Won: False | Reward: -509.0 | Epsilon: 0.6293
Episode  2790 | Won: False | Reward: -511.0 | Epsilon: 0.6280
Episode  2800 | Won: False | Reward: -509.0 | Epsilon: 0.6267
Episode  2810 | Won: False | Reward: -511.0 | Epsilon: 0.6253
Episode  2820 | Won: False | Reward: -508.0 | Epsilon: 0.6240
Episode  2830 | Won: False | Reward: -510.0 | Epsilon: 0.6227
Episode  2840 | Won: False | Reward: -504.0 | Epsilon: 0.6213
Episode  2850 | Won: False | Reward: -511.0 | Epsilon: 0.6200
Episode  2860 | Won: False | Reward: -511.0 | Epsilon: 0.6187
Episode  2870 | Won: False | Reward: -507.0 | Epsilon: 0.6173
Episode  2880 | Won: False | Reward: -509.0 | Epsilon: 0.6160
Episode  2890 | Won: False | Reward: -510.0 | Epsilon: 0.6147
Episode  2900 | Won: False | Reward: -508.0 | Epsilon: 0.6133
Episode  2910 | Won: False | Reward: -518.0 | Epsilon: 0.6120
Episode  2920 | Won: False | Reward: -551.0 | Epsilon: 0.6107
Episode  2930 | Won: False | Reward: -515.0 | Epsilon: 0.6093
Episode  2940 | Won: False | Reward: -517.0 | Epsilon: 0.6080
Episode  2950 | Won: False | Reward: -508.0 | Epsilon: 0.6067
Episode  2960 | Won: False | Reward: -512.0 | Epsilon: 0.6053
Episode  2970 | Won: False | Reward: -520.0 | Epsilon: 0.6040
Episode  2980 | Won: False | Reward: -511.0 | Epsilon: 0.6027
Episode  2990 | Won: False | Reward: -512.0 | Epsilon: 0.6013
Episode  3000 | Won: False | Reward: -518.0 | Epsilon: 0.6000
Episode  3010 | Won: False | Reward: -508.0 | Epsilon: 0.5987
Episode  3020 | Won: False | Reward: -511.0 | Epsilon: 0.5973
Episode  3030 | Won: False | Reward: -509.0 | Epsilon: 0.5960
Episode  3040 | Won: False | Reward: -515.0 | Epsilon: 0.5947
Episode  3050 | Won: False | Reward: -507.0 | Epsilon: 0.5933
Episode  3060 | Won: False | Reward: -517.0 | Epsilon: 0.5920
Episode  3070 | Won:  True | Reward:  500.0 | Epsilon: 0.5907
Episode  3080 | Won: False | Reward: -519.0 | Epsilon: 0.5893
Episode  3090 | Won: False | Reward: -518.0 | Epsilon: 0.5880
Episode  3100 | Won: False | Reward: -504.0 | Epsilon: 0.5867
Episode  3110 | Won: False | Reward: -517.0 | Epsilon: 0.5853
Episode  3120 | Won: False | Reward: -520.0 | Epsilon: 0.5840
Episode  3130 | Won: False | Reward: -504.0 | Epsilon: 0.5827
Episode  3140 | Won: False | Reward: -508.0 | Epsilon: 0.5813
Episode  3150 | Won: False | Reward: -507.0 | Epsilon: 0.5800
Episode  3160 | Won: False | Reward: -507.0 | Epsilon: 0.5787
Episode  3170 | Won: False | Reward: -508.0 | Epsilon: 0.5773
Episode  3180 | Won: False | Reward: -511.0 | Epsilon: 0.5760
Episode  3190 | Won: False | Reward: -519.0 | Epsilon: 0.5747
Episode  3200 | Won: False | Reward: -509.0 | Epsilon: 0.5733
Episode  3210 | Won: False | Reward: -507.0 | Epsilon: 0.5720
Episode  3220 | Won: False | Reward: -521.0 | Epsilon: 0.5707
Episode  3230 | Won: False | Reward: -510.0 | Epsilon: 0.5693
Episode  3240 | Won: False | Reward: -533.0 | Epsilon: 0.5680
Episode  3250 | Won: False | Reward: -508.0 | Epsilon: 0.5667
Episode  3260 | Won: False | Reward: -505.0 | Epsilon: 0.5653
Episode  3270 | Won: False | Reward: -505.0 | Epsilon: 0.5640
Episode  3280 | Won: False | Reward: -510.0 | Epsilon: 0.5627
